Title,Company,Location,Date Posted,Link,Short Description,Sub Classification,Classification,Work Arrangement,Job Type,Cluster
AI Engineer,Teachers Mutual Bank,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90244169?type=standard&ref=search-standalone&origin=jobCard#sol=4e02691beedf8c8be53003e48826d5b3fe04073b,"Build intelligent, scalable solutions that shape the future of our organisation.",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,0
Data Scientist - AI & NLP,Correlate Resources,Sydney NSW,Listed two days ago,https://www.seek.com.au/job/90629702?type=standard&ref=search-standalone&origin=jobCard#sol=d7cae3607fdf7015f562187ff7a6d8418ff76831,"Work on advanced NLP and ML initiatives, improving LLM outputs, implementing MLOps, and leveraging Python and SQL expertise to drive AI solutions","Mathematics, Statistics & Information Sciences",(Science & Technology),(Hybrid),This is a Full time job,4
Data Engineer,TheDriveGroup,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90575973?type=standard&ref=search-standalone&origin=jobCard#sol=52211a37b12dab6cf2ab9b870d65f7c5af845062,"Permanent role driving Open Banking for ASX-listed FS firm. Business-facing, high-impact project and long-term growth.",Database Development & Administration,(Information & Communication Technology),,This is a Full time job,2
Data & AI Engineer,Secure Parking Pty Ltd.,North Sydney,Listed four days ago,https://www.seek.com.au/job/90603585?type=standard&ref=search-standalone&origin=jobCard#sol=191e94dfd9ec203ec877d9ac3094ce618bcfb5e3,Are you a driven Data & AI Engineer ready to shape the future of intelligent data platforms?,Engineering - Software,(Information & Communication Technology),,This is a Full time job,2
Data Engineer - Databricks,FinXL IT Professional Services,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90560614?type=standard&ref=search-standalone&origin=jobCard#sol=b85f35bc691917aecac11dec0aab143739200d58,We are currently seeking a Data Engineer with Databricks & Java to join our consulting practice- to be deployed within a leading Financial organisatio,Developers/Programmers,(Information & Communication Technology),(Hybrid),,2
Senior Software Engineer,Billigence,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90434658?type=standard&ref=search-standalone&origin=jobCard#sol=1607b95196260e89a73dfd1111e4c56e80d04e72,"Global organisation | Hybrid model, 2 days in the Sydney office | Positive, friendly team environment | Career growth opportunities",Engineering - Software,(Information & Communication Technology),(Hybrid),This is a Full time job,2
Principal Software Engineer - Azure Storage team,Microsoft,Sydney NSW,Listed ten days ago,https://www.seek.com.au/job/90462201?type=standard&ref=search-standalone&origin=jobCard#sol=1cb1dd9f6bee297c447ab58eb2feab2e3a66bda1,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Senior Objectstar Software Engineer (Developer),Calleo,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90574977?type=standard&ref=search-standalone&origin=jobCard#sol=e0fc936c210586604d4d5829860aaf6e0cba73d2,Developing and supporting Objectstar applications.,Database Development & Administration,(Information & Communication Technology),,,4
Senior Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552683?type=standard&ref=search-standalone&origin=jobCard#sol=1252b23346de8dd1d82cb070b2835df4d4efd573,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
Software Engineer II - Scenarios Validation,Microsoft,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90362979?type=standard&ref=search-standalone&origin=jobCard#sol=5a3142fc1ad5a5645c846b9f8c6b6322618be7e8,Microsoft’s mission is to empower every person and every organization on the planet to achieve more.,Engineering - Software,(Information & Communication Technology),,This is a Full time job,3
