Title,Company,Location,Date Posted,Link
Application Support Engineer,Plenti,Sydney NSW,Listed three days ago,https://www.seek.com.au/job/90614750?type=standard&ref=search-standalone&origin=jobCard#sol=0fbf32da27ad08e334abc286f4977372f5c45368
Software Developer,Assure Programs,North Sydney,Listed ten days ago,https://www.seek.com.au/job/90461891?type=standard&ref=search-standalone&origin=jobCard#sol=4799665f79d2b97e2477b0a677f0fa4290c70700
Software Engineer 2 - Azure Ecosystems Engineering,Microsoft,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90214600?type=standard&ref=search-standalone&origin=jobCard#sol=4439e4546d7e426b39ade5182cb3381f6db1168b
Senior Full Stack Developer,Aurec,Haymarket,Listed twenty six days ago,https://www.seek.com.au/job/90126904?type=standard&ref=search-standalone&origin=jobCard#sol=4236a63a236206f31be1f7dc6079a41fda4b0f8f
Software Engineer II - Azure Data Lake Storage Gen 2,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327125?type=standard&ref=search-standalone&origin=jobCard#sol=eb527687d834caf43533e611efaea26b29f9444d
Senior Software Engineer- ML & Data Pipelines,Correlate Resources,Sydney NSW,Listed eighteen days ago,https://www.seek.com.au/job/90302689?type=standard&ref=search-standalone&origin=jobCard#sol=809c9ee96b7e45d4538a77edb68f7866bc9610e2
Senior Software Engineer - AI,RBOL TECH PTY LTD,Sydney NSW,Listed fourteen days ago,https://www.seek.com.au/job/90381459?type=standard&ref=search-standalone&origin=jobCard#sol=770d589ba878ddb168253a3a679cf43573c6b934
AI Engineer / Consultant,Bluefin Resources Pty Limited,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90552623?type=standard&ref=search-standalone&origin=jobCard#sol=91e4de08469a43fc1310295b6f0d9ebdf1cae432
"Software Engineer (Early Career) – .NET, SQL & Power BI (Embedded)",ICTx,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90569943?type=standard&ref=search-standalone&origin=jobCard#sol=687c7ae84f4020fa36787248bcc2888c8b73f8ee
Lead Software Engineer – GenAI Developer Tooling,Peoplebank Australia NSW,Sydney NSW,Listed eleven days ago,https://www.seek.com.au/job/90429054?type=standard&ref=search-standalone&origin=jobCard#sol=ec8345b961771ec112a478ee3d42e4211769f378
Full Stack Developer,Calyx Eco Pty Ltd,Sydney NSW,Listed twenty six days ago,https://www.seek.com.au/job/90135628?type=standard&ref=search-standalone&origin=jobCard#sol=8205204bdd1bc20007cd7bf25accc3c08500cc86
Software Engineer II - Azure Storage,Microsoft,Sydney NSW,Listed seventeen days ago,https://www.seek.com.au/job/90327217?type=standard&ref=search-standalone&origin=jobCard#sol=41002b4429189d8d37b5591c4d89ef5ee5beb10a
Lead Backend Engineer - Python -FinTech,Pair People Pty Limited,Sydney NSW,Listed twenty one days ago,https://www.seek.com.au/job/90236622?type=standard&ref=search-standalone&origin=jobCard#sol=db3c7e1563b71bc2a95c4b9fa4dbd080bbeb985c
Senior Software Engineer,Microsoft,Sydney NSW,Listed five days ago,https://www.seek.com.au/job/90553678?type=standard&ref=search-standalone&origin=jobCard#sol=519115185de17fa21d13527410a562dee67eba70
Senior Data Engineer,Randstad Digital,Sydney NSW,Listed twelve days ago,https://www.seek.com.au/job/90404245?type=standard&ref=search-standalone&origin=jobCard#sol=8236f90fab633e87535ef2aa4b598e5749c035c9
Software Engineer - Automation & Platform Tooling,DeVision Recruitment,Sydney NSW,Listed twenty days ago,https://www.seek.com.au/job/90250420?type=standard&ref=search-standalone&origin=jobCard#sol=f92412b01889e0f4ed7f83acdea3ad9e2920b3dc
Agentic AI Engineer with AWS Cloud,HCL Australia Services Pty Ltd,Sydney NSW,Listed six days ago,https://www.seek.com.au/job/90518641?type=standard&ref=search-standalone&origin=jobCard#sol=c128daeceea4f5fdc4dfb2004256e76bf8dc4142
Senior Full Stack Engineer,NSW Department of Customer Service,Parramatta,Listed four days ago,https://www.seek.com.au/job/90603017?type=standard&ref=search-standalone&origin=jobCard#sol=4041b9dbe05315fc61a08108fd32906f70bf6701
Snowflake Data Engineer,Cognizant Technology Solutions Australia Pty Ltd,Sydney NSW,Listed seven days ago,https://www.seek.com.au/job/90514250?type=standard&ref=search-standalone&origin=jobCard#sol=cc4d654115c5090693f84e24778dbef700c4b843
Data Scientist - Experimentation,SEEK Limited,North Sydney,,https://www.seek.com.au/job/90425318?type=promoted&ref=search-standalone&origin=jobCard#sol=08daeb66399492c6fd98b532aace5dab9e5d5d95
